"X","threshold","affiliation","sim_condition_prob_higher","prob_higher","sim_condition_ci_moe","ci_moe"
0,5,"libs","prob_higher_empi",0.432577849728597,"ci_moe_empi",0.00670043572177226
0,5,"libs","prob_higher_homophily",0.323314334874718,"ci_moe_homophily",0.00672234717516135
0,5,"libs","prob_higher_acrophily",0.456215083737928,"ci_moe_acrophily",0.00716566889906377
1,10,"libs","prob_higher_empi",0.414867944764714,"ci_moe_empi",0.00790632522325052
1,10,"libs","prob_higher_homophily",0.322351268073003,"ci_moe_homophily",0.00814234889010618
1,10,"libs","prob_higher_acrophily",0.464929936281205,"ci_moe_acrophily",0.00868565770779202
2,15,"libs","prob_higher_empi",0.407090255180682,"ci_moe_empi",0.00891052930697628
2,15,"libs","prob_higher_homophily",0.324073117835382,"ci_moe_homophily",0.00932211568927077
2,15,"libs","prob_higher_acrophily",0.475438530119383,"ci_moe_acrophily",0.00994450577494532
3,20,"libs","prob_higher_empi",0.401187794388695,"ci_moe_empi",0.00972095446710575
3,20,"libs","prob_higher_homophily",0.313804375157154,"ci_moe_homophily",0.0101978534651286
3,20,"libs","prob_higher_acrophily",0.476233384252229,"ci_moe_acrophily",0.0109824462712578
4,25,"libs","prob_higher_empi",0.396858006042296,"ci_moe_empi",0.0105412338146338
4,25,"libs","prob_higher_homophily",0.310448660042156,"ci_moe_homophily",0.0111269683724714
4,25,"libs","prob_higher_acrophily",0.472359197287292,"ci_moe_acrophily",0.0120101644584409
5,30,"libs","prob_higher_empi",0.397792371105212,"ci_moe_empi",0.0113392396456231
5,30,"libs","prob_higher_homophily",0.306946403385049,"ci_moe_homophily",0.0120031342969762
5,30,"libs","prob_higher_acrophily",0.470331041723275,"ci_moe_acrophily",0.0129839291210265
6,35,"libs","prob_higher_empi",0.396339539286841,"ci_moe_empi",0.0120420947251128
6,35,"libs","prob_higher_homophily",0.318594791035736,"ci_moe_homophily",0.0129758550968034
6,35,"libs","prob_higher_acrophily",0.463838123370806,"ci_moe_acrophily",0.0138560862994482
7,40,"libs","prob_higher_empi",0.392932862190813,"ci_moe_empi",0.0127238169713561
7,40,"libs","prob_higher_homophily",0.312243969048703,"ci_moe_homophily",0.0137019474581757
7,40,"libs","prob_higher_acrophily",0.456055086205294,"ci_moe_acrophily",0.0147083584681742
0,5,"cons","prob_higher_empi",0.417335852621634,"ci_moe_empi",0.0074266791936255
0,5,"cons","prob_higher_homophily",0.1628861815979,"ci_moe_homophily",0.00593768160956606
0,5,"cons","prob_higher_acrophily",0.302056551534363,"ci_moe_acrophily",0.00736897203557498
1,10,"cons","prob_higher_empi",0.471313312415957,"ci_moe_empi",0.00845622872931523
1,10,"cons","prob_higher_homophily",0.267001164770182,"ci_moe_homophily",0.00820738407357835
1,10,"cons","prob_higher_acrophily",0.46448086811232,"ci_moe_acrophily",0.00924730926170355
2,15,"cons","prob_higher_empi",0.506398537477148,"ci_moe_empi",0.00914280002408596
2,15,"cons","prob_higher_homophily",0.302521008403361,"ci_moe_homophily",0.00934481362543838
2,15,"cons","prob_higher_acrophily",0.526648143710176,"ci_moe_acrophily",0.0101689816709303
3,20,"cons","prob_higher_empi",0.535724844781709,"ci_moe_empi",0.00970371151160976
3,20,"cons","prob_higher_homophily",0.315207836242622,"ci_moe_homophily",0.0102044035933372
3,20,"cons","prob_higher_acrophily",0.552216236210721,"ci_moe_acrophily",0.0109085006139586
4,25,"cons","prob_higher_empi",0.557610706125558,"ci_moe_empi",0.0101539393234936
4,25,"cons","prob_higher_homophily",0.329702555509007,"ci_moe_homophily",0.0108882025834927
4,25,"cons","prob_higher_acrophily",0.572443157747554,"ci_moe_acrophily",0.0115136595001902
5,30,"cons","prob_higher_empi",0.571902392797915,"ci_moe_empi",0.0105549887345692
5,30,"cons","prob_higher_homophily",0.341202050007765,"ci_moe_homophily",0.011580326758901
5,30,"cons","prob_higher_acrophily",0.589034980223735,"ci_moe_acrophily",0.0120221346396372
6,35,"cons","prob_higher_empi",0.58883377845606,"ci_moe_empi",0.010875745226881
6,35,"cons","prob_higher_homophily",0.348306959332993,"ci_moe_homophily",0.0121807172835166
6,35,"cons","prob_higher_acrophily",0.603675743431202,"ci_moe_acrophily",0.0124605798160573
7,40,"cons","prob_higher_empi",0.602841677943166,"ci_moe_empi",0.011156021444374
7,40,"cons","prob_higher_homophily",0.395256201339852,"ci_moe_homophily",0.0128939394801055
7,40,"cons","prob_higher_acrophily",0.619191780980429,"ci_moe_acrophily",0.0128205098955383
