"tweet","avg_libcons_left","avg_libcons_right","avg_libcons_ml","avg_libcons_mr","avg_feel_left","avg_feel_right","avg_feel_ml","avg_feel_mr"
1,3.5555556,4.5,3.5,3.75,3.5999999,3.625,3.1666667,3.5
2,2.5999999,2.7142856,2.5,1.6666666,4.4000001,3.4285715,3.6666667,3.3333333
4,4.4000001,4.25,3.6666667,3.2,3,3.8333333,3.1666667,2.5999999
5,3.8,3.5,3.5,3,4.25,3.7,4.25,4
6,3.75,3,4.75,3.6666667,4.1999998,4,3.8571429,4
7,3,2.5555556,4.3333335,2.25,4.4285712,3.4444444,5.3333335,3.5
8,5.3333335,4.5714288,4.8333335,3.3333333,2.0625,3.7777777,2,2.8
10,4.75,4.125,3.5,3.2,4.1333332,3.9285715,3.6666667,3.6666667
11,3.6666667,2.7142856,3.6666667,3.25,3.6153846,3.5,3.6666667,3
13,2.375,2.4285715,2,2.8333333,6,2.7857144,6,3
14,3.625,3,3.3333333,2.7142856,4.2222223,3.75,4,3.625
15,3,2.6428571,2.6666667,2.5,4.7142859,3.0714285,4.6666665,3
18,3.7,2.8,5,2,4,3,2.75,3
21,3.5833333,4.25,3.6666667,4.3333335,4.1666665,4.6666665,4.3333335,4.3333335
22,2.6923077,1.8181819,3.3333333,1.2857143,4.8461537,2.3636363,3.6666667,2.2857144
23,2.6923077,2,2.7142856,1.3333334,5.8461537,2.5,6,2.6666667
24,3.3333333,5,3.3333333,5,3.9285715,4.5555553,4.0999999,4.1999998
27,2.9000001,2.7777777,2.6666667,3.4000001,4.181818,3.1666667,3.75,3.4285715
29,5.6666665,5,6,4.75,4.375,4.3076925,4.4444447,4.2222223
33,3.8,3.75,3.3333333,3.5,4.375,4.5,4.8000002,4.1999998
37,1.4444444,2.3,1,2,5.6666665,2.6363637,6,2.75
40,2.5833333,1.2222222,2.6666667,1.5,5.5833335,1.4444444,6,1.25
46,3.5714285,4.125,3.2857144,3.8333333,3.9285715,4.7777777,4.4285712,5.5
48,3.1666667,4.4285712,3.5,4.5714288,4.1666665,3.5999999,3.5,3.875
49,4.909091,2.8,5,5,3,2.2,3.4000001,2.5
51,3.25,2.3333333,3.25,2,4.625,2.6666667,5,2
52,3.125,2,2.5,1.3333334,3.25,2.375,3.75,1
54,3.625,1.1428572,3.6666667,1.25,5.625,1.1428572,6.3333335,1
55,1.9166666,1.6666666,1.8888888,1.75,3.5833333,1.5714285,3.5555556,1.75
58,2.3,2,2.1666667,2,5,2.5999999,5.5,2.8571429
60,3,3.1111112,3.5,3.25,5.75,4.7272725,5.25,4.5999999
63,3.2,2.7777777,3.25,3.25,5.181818,3.3636363,5,3.3333333
64,2.1818182,2,1.4,2.3333333,6.181818,2.5555556,6,3.3333333
65,2.7142856,3.3333333,3.6666667,4.25,3.875,2.8888888,3.25,3.75
66,5,5.2857141,5,5,4.3846154,4.4736843,4.7142859,4.6363635
67,3.2,1.1,3.6666667,1.25,3.2,1.8,3,2
68,3,3.5999999,3.6666667,4.5,4.4285712,4,4,4.25
69,3.1666667,2.6666667,3.125,2.5999999,5,2.6666667,5.2222223,2.4000001
72,3.25,3.3333333,4.6666665,4.25,4,2.875,4,3.1111112
74,2.0526316,1.2727273,1.6,1.1428572,5.0526314,1.4545455,4.4000001,1
77,4.625,4.2307692,4.5,3.8333333,2.625,3.2307692,2.5,3
79,2.1666667,1.4166666,2.3333333,1,3.5,1.6666666,3.3333333,1.3333334
88,3.5555556,1.5,3.6666667,1.3333334,5.4444447,3,5.8333335,2.6666667
91,4.25,5.25,3.3333333,5.6666665,3.6666667,3.7142856,3.4000001,4
92,2.3333333,2.25,2.3333333,2.5,5.0714288,2.0833333,4.75,2.25
93,3,2,2.75,1.5,4.7142859,2.2857144,5.25,2.5
95,2.3333333,2,1.3333334,2,5.5,2.4000001,6,3.5
101,2.4285715,4.090909,2.5,3.6666667,5.4285712,3.3636363,5.25,2.6666667
103,4.5,5.5,5,5,4.3846154,4.0555553,4.4285712,3.8181818
108,3.375,2.2857144,3.25,3,4.375,3.2857144,4.5,4
111,4.6666665,6,4.5,6,4,4.625,4,4.8333335
113,2.6666667,3.5555556,2.8333333,3.3333333,4.8888888,3.2222223,4.5,3
114,5.5454545,2.8181818,5.1666665,3.25,1.7272727,2.9166667,1.8333334,2.4000001
115,3,2.625,2.8333333,2.5999999,4.4000001,2.625,4.8333335,2
117,3.3636363,4.5999999,3.4000001,4.25,4.6363635,4.4545455,4.4000001,4.5999999
118,2.4444444,1.5,2.5,1,5.3333335,1.5,5.5,1.6666666
119,3.125,2.5,3.3333333,2,5.4444447,3.75,5.6666665,3.5
120,5.4444447,5.625,5.5999999,5.5,2.7,4.875,2.1666667,4.6666665
121,2.8,3.5,2.6666667,3,3.5555556,3.4545455,3.2,4
122,3.3333333,2.9000001,3.6666667,3,5.5,2.8,4.6666665,2.5
125,3.1666667,3.6666667,2.5,3.875,5.4285712,4.1333332,5.75,4.5
129,3.3333333,3,3,3,5.1999998,3.8571429,5,4
131,6.5,5.5,6.1999998,6.3333335,2.25,3.6666667,3,3.3333333
132,3.2,1.75,2,2,5.5454545,1.75,5.5,2.5
133,2.4545455,1.7,2.5714285,1,4.909091,2,4.8571429,1.8333334
134,4.909091,5.4166665,5,5.3333335,3.090909,4.3846154,3,4.5
135,2.25,1.9,2,2,5.6666665,2.9000001,5.7777777,2.3333333
137,6.3636365,6.3333335,5.5,6,1.7272727,5.8888888,3,5
139,2.2,1.6153846,1.8571428,1.5714285,5.1999998,2,5.8571429,2.7142856
140,3.6666667,4.625,3.6666667,5.75,3.6666667,3.25,3.3333333,3.25
141,3.25,2.8571429,4.1999998,3.25,4.3333335,2.7142856,4.5999999,3.25
144,4.4285712,4.9166665,5,4.8888888,3.8571429,1.9166666,4,2.1111112
147,3.090909,3.25,3.25,3.125,4.3636365,2.9166667,4.375,2.875
149,2.6363637,3.125,2,3.5,5.6363635,2.375,6,3
