"","user_id","created_at","followers_count","following_count","tweets_count","sensitive_tweets_count","retweets_average","mentions_average","sentiment_average","retweeted_sentiment_average","user_coef","poli_affil","poli_rating"
"1",785,2006,21269,569,96613,0,230.67,0.7,0.087341,0.0129,1.58124558633389,"left",0.8
"2",11113,2006,81877,3104,92523,0,836.67,1.33,0.038154,-0.0163602941176471,0,"left",2
"3",11519,2006,849,2162,35386,0,5036.61,1.23,-0.092752,NA,0.378893049935457,"left",1.08333333333333
"4",12514,2006,41403,1083,229933,0,211.5,2.41,-0.093179,NA,1.49333419953144,"left",0.833333333333333
"5",15453,2006,45872,3011,155350,0,614.77,0.5,-0.01053,NA,0.277958098354937,"left",1
"6",29283,2006,10113,11127,702871,0,614.23,1.36,0.11122,0.103385263157895,1.86182363351111,"left",0.555555555555556
"7",243863,2006,15485,957,209413,0,7.97,0.94,0.30204,0.261966666666667,0.250162288519443,"left",1
"8",383373,2006,359,883,17989,0,6284.86,0.25,-0.084914,NA,1.85604278578942,"left",0.833333333333333
"9",386513,2006,52914,4080,76791,0,220.79,0.61,0.139308,NA,0.241145795778902,"left",1.33333333333333
"10",411893,2007,1,1,10,0,0,1.3,-0.00952,NA,0,"left",1.2
"11",483223,2007,7514,7498,698302,0,528.45,1.04,0.147071,NA,1.70802486601961,"left",0.833333333333333
"12",690293,2007,2086,692,21439,1,2886.15240811153,1.00095057034221,-0.0384993662864385,NA,0.220731431046567,"right",1.63636363636364
"13",711953,2007,361,401,77730,0,769.17,1.17,-0.005612,NA,0.196205716485838,"left",1.28571428571429
"14",756343,2007,202,1072,15484,0,3055.81,1.02,-0.09921,NA,2.24305027653163,"left",0.666666666666667
"15",774675,2007,31349,33598,127887,1,1167.06,0.9,-0.010284,-0.0622983333333333,0.57179951661587,"left",1
"16",783036,2007,676,233,10075,0,266.34,1.2,0.048977,NA,2.24625603145888,"left",0.666666666666667
"17",797444,2007,727,2357,66215,2,2693.98,1.02,0.123961,NA,0,"left",1
"18",801607,2007,2412,286,46152,0,419.37,0.66,0.083591,NA,1.622829287129,"left",0.4
"19",806122,2007,830,617,54277,0,1140.88,1.04,-0.073914,-0.114916666666667,1.12625974233436,"left",0.923076923076923
"20",820694,2007,27285,4558,609109,0,6.87,1.11,-0.110406,NA,0.708424179878069,"left",1
"21",917131,2007,7549,1413,31764,0,1254.35,1.04,-0.089415,NA,0.384865059260682,"left",1
"22",926601,2007,107294,7471,44944,0,656.17,1.2,0.063306,NA,0.461838071112818,"left",1
"23",1015991,2007,3318,1367,49968,0,444.8,1.25,0.173152,-0.0979782608695652,0.79597091801641,"left",1
"24",1137881,2007,12009,2772,21035,0,1808.91,0.96,-0.055939,NA,1.56984865505996,"left",0.571428571428571
"25",1175831,2007,797,945,27443,0,228.03,0.9,0.034668,NA,0.87872131597586,"left",0.875
"26",1214391,2007,2402,716,39826,0,2442.6,0.89,0.029353,NA,1.98315543646376,"left",0.692307692307692
"27",1318391,2007,3739,4996,81919,0,260.45,1.24,0.121783,NA,0.645580099405015,"left",1
"28",1388561,2007,2691,4999,61900,0,474.98,1.25,0.042656,NA,1.47154287364378,"left",0.866666666666667
"29",1578241,2007,1043,390,306,0,0.01,0.51,0.058408,NA,1.56945787534964,"left",0.703703703703704
"30",1579841,2007,4163,4278,24608,0,1656.56,1.32,-0.052364,NA,0.650828718099365,"left",1
"31",1622051,2007,34348,3201,715,0,740.02,0.49,-0.017734,NA,0.358436557337202,"left",1.22222222222222
"32",1653051,2007,3130,1635,175859,1,939.141772151899,0.92753164556962,-0.0695226582278481,NA,1.87115873526767,"right",1.28571428571429
"33",1689081,2007,2985,4948,9004,0,271.26,0.86,0.12128,NA,0.217771741148379,"left",1.33333333333333
"34",1777681,2007,7379,7253,110694,0,1289.9,1.09,0.058184,NA,1.4708108325314,"left",0.875
"35",1797361,2007,604,98,11242,0,3079.09,0.26,0.019978,NA,-0.635975958841683,"left",1.15384615384615
"36",1797991,2007,61073,6883,235,0,76.260663507109,0.895734597156398,0.0868919431279621,NA,0.968823774177371,"right",1.30769230769231
"37",1899161,2007,28878,2195,22716,0,3259.48,0.99,0.001835,NA,-0.38787918102581,"left",1.09090909090909
"38",1906831,2007,1479,923,293,0,2148.5,0.75,0.062579,NA,2.26694906857207,"left",0.6
"39",1947301,2007,1250825,8989,130568,0,10.22,1.03,0.10384,0.198019512195122,0,"left",2
"40",2020351,2007,36021,3376,18095,0,802.25,0.91,-0.011948,NA,0.568550655726007,"left",1
"41",2066991,2007,699,3414,21966,0,693.82,0.98,0.048773,NA,-0.483185178262773,"left",1.35
"42",2128631,2007,259,986,10420,65,180.18,0.76,0.04837,NA,2.08571484909811,"left",0.5
"43",2179951,2007,1710,4963,154907,0,175.51,0.44,-0.102964,NA,1.04812596713981,"left",0.7875
"44",2195241,2007,192235,5477,7415,0,711.04,0.8,0.089562,0.0733526315789474,1.39738201221356,"left",0.833333333333333
"45",2198211,2007,3006,738,45892,0,36.62,0.6,0.039862,NA,1.25081144259722,"left",1
"46",2199541,2007,54605,1358,171486,0,358.58,1.07,0.058635,NA,-0.370647190761901,"left",1.14285714285714
"47",2200221,2007,17272,17711,18006,0,1876.92,1.11,0.010543,NA,0,"left",1.28571428571429
"48",2235041,2007,422,670,9021,0,1174.12,1.94,-0.030843,NA,1.81936209832322,"left",0.727272727272727
"49",2726611,2007,20201,1513,73394,0,40.69,0.77,0.089743,NA,2.03478891168583,"left",0.8
"50",2884771,2007,3587469,578,321538,0,6.38,0.08,0.020162,-0.1642,0.833874295064811,"left",1
"51",2903261,2007,16529,5920,42785,0,788.67,1.12,0.136902,NA,0.833874295064811,"left",1
"52",2910971,2007,7460,6921,253787,0,2602.82,0.92,0.090919,NA,0.470827619942265,"left",0.9375
"53",2914671,2007,2607,3593,64997,0,1008.33,0.35,0.166872,NA,0,"left",1.2
"54",3250841,2007,4160,4709,210471,0,3601.89,1.11,-0.010899,NA,-0.0849575185576291,"left",1.14285714285714
"55",3370001,2007,7688,3621,132975,0,973.94,1.09,0.003886,NA,2.33275370579146,"left",0.5
"56",3408951,2007,2719,4283,86088,0,420.66,0.95,0.0314,0.006575,1.25081144259722,"left",1
"57",3497941,2007,150317,5417,120466,0,305.62,0.37,-0.093851,NA,0.900584238669996,"left",1
"58",3562941,2007,2818,5003,69490,0,19.04,0.48,0.057704,NA,2.50162288519443,"left",0.722222222222222
"59",3652741,2007,6684,5360,48599,0,4610.35,7.86,0.01005,NA,0.621753717086645,"left",1.1
"60",3734831,2007,2770,2279,23266,0,177.34,0.52,0.123598,NA,1.07212409365476,"left",1
"61",3940871,2007,32251,3675,12212,0,1.17,0.24,0.365926,NA,1.73887842538461,"left",0.1875
"62",3952791,2007,11118,902,225471,0,72.8,0.81,0.195025,NA,1.21131213388362,"left",0.709677419354839
"63",4041161,2007,1632,1522,328163,0,626.19,1.09,0.026619,NA,0.714749395769838,"left",1
"64",4067771,2007,646,1227,1719,0,6259.36,1.19,0.245726,NA,2.35138070033833,"left",0.8
"65",4119741,2007,1927328,3452,38441,0,301.93,0.98,0.065932,NA,1.8304693150407,"left",0.6
"66",4227911,2007,338,1057,8513,0,1693.86,1.31,-0.084025,NA,1.45558169432648,"left",0.4
"67",4390331,2007,7558,6919,358533,0,1004.71,1.18,0.014447,0.0680833333333333,-0.794078870978408,"left",1.20869565217391
"68",4440431,2007,25530,13254,9542,0,78.43,0.68,0.101821,NA,1.36549902472647,"left",0.4
"69",4556491,2007,778,1524,46491,0,3508.81,1.5,0.119938,NA,-1.11241577949103,"left",1.6
"70",4637891,2007,547,1092,167959,0,148.4515625,2.78375,0.02811496875,NA,0,"right",2
"71",4815301,2007,1855,3319,18173,0,1897.06,0.59,0.089803,NA,0.369765426461221,"left",1.06666666666667
"72",4833701,2007,374,311,68082,0,234.27,1.05,0.003961,NA,0.714749395769838,"left",1
"73",5054721,2007,12088,10269,108320,0,1184.7,1.12,-0.048889,NA,-0.491026539223236,"left",1.42857142857143
"74",5379272,2007,1902,1321,96166,0,2719,0.96,-0.053853,NA,0.568550655726007,"left",1
"75",5386262,2007,81,239,2108,0,39.93,0.18,0.051904,0.3753,0.476499597179892,"left",1
"76",5391342,2007,8736,1683,7511,0,1303.55,0.54,0.116083,NA,2.41032277989537,"left",0.5
"77",5409972,2007,1043,4473,233533,0,682.83,0.56,-0.072412,0.0282959183673469,-0.0328994942464646,"left",1.06730769230769
"78",5473832,2007,1880,3340,109961,0,1188.89,1.35,-0.035405,-0.0262757575757576,0.733947210119028,"left",1
"79",5474222,2007,12105,11444,46736,0,892.847139731166,0.678649577993123,0.0689511409815567,NA,2.50162288519443,"right",0.571428571428571
"80",5511332,2007,34016,33311,74424,0,701.63693665301,1.07028049164828,0.031353198865427,NA,1.59565320836881,"right",0.833333333333333
"81",5566092,2007,6117,7314,22745,0,57.35,0.33,0.1245,NA,0,"left",0.916666666666667
"82",5689782,2007,372,1796,14404,0,1546.69242902208,1.5,0.0265544164037855,0.0135398671096346,0.267750597567891,"right",1.66666666666667
"83",5718732,2007,1523,1771,27343,0,4135.01,1.3,0.108111,NA,-0.409497811900813,"left",1.09090909090909
"84",5747312,2007,903,3367,29935,0,598.73,1.49,0.352338,NA,0.357374697884919,"left",1
"85",5753932,2007,1849,2263,9618,0,1432.5,1.2,0.054397,-0.0479,1.66774859012962,"left",0.857142857142857
"86",5820642,2007,84400,54217,317934,2,598.42540192926,0.57556270096463,0.0138646302250804,NA,0.299034937819639,"right",1.33333333333333
"87",5839642,2007,5843,6287,120904,0,815,0.95,-0.052347,-0.035135593220339,1.32199583363933,"left",0.912280701754386
"88",5929042,2007,1644,2029,15631,0,521.056875,1.243125,0.0526578125,NA,0,"right",2
"89",5966412,2007,15549,449,105847,0,312.66,0.82125,-0.01816215625,NA,2.50162288519443,"right",0.333333333333333
"90",5998492,2007,2639,992,272787,0,180.59,1.29,0.000794,NA,0.326040345299833,"left",1.33333333333333
"91",6007832,2007,14175,8198,21607,0,1484.55,1.01,-0.011068,-0.144072,0.958068339010634,"left",1
"92",6065452,2007,25195,291,76951,0,419.32,0.74,0.083314,NA,0.648568896161519,"left",1
"93",6092972,2007,40884,38661,83045,0,970.93,1.29,0.052752,NA,0.0172906287653143,"left",0.848484848484849
"94",6165492,2007,1295,5001,12736,2,2388.01552393273,0.78719275549806,-0.0587115782664942,NA,-0.177400404047029,"right",1.875
"95",6291872,2007,11104,2079,10521,0,945.34,0.85,-0.014662,NA,2.50162288519443,"left",1
"96",6439652,2007,7778,3977,32384,0,83.83,2.13,0.165869,NA,2.50162288519443,"left",1
"97",6460032,2007,11963,13114,161985,0,1466.67,1.24,-0.018912,NA,-1.33281567485216,"left",1.8
"98",6461462,2007,5107,3387,114318,0,436.37,1.01,0.078433,NA,2.24401930283886,"left",0.4
"99",6588682,2007,212,298,11723,0,184.6775,0.111875,-0.00480790625,-0.0185525974025974,0,"right",2
"100",6689482,2007,707,2646,42112,0,380.703125,0.5540625,-0.095404625,NA,1.15336862483114,"right",1.84210526315789
"101",6742412,2007,100679,14270,26932,0,1122.21026282854,0.754693366708385,0.0483538798498123,NA,1.63977611201128,"right",0.833333333333333
"102",6752272,2007,4670,2122,136045,0,1263.66,1.19,0.061944,NA,0.416937147532405,"left",1
"103",6804822,2007,1786,4115,206374,0,269.49,1.26,0.099664,NA,1.99170401584017,"left",0.666666666666667
"104",7038822,2007,1961,708,12829,0,232.04,1.15,0.302927,NA,0.673293275382454,"left",0.444444444444444
"105",7058252,2007,3162,1833,56049,0,1068.6340625,1.67125,0.04152696875,NA,1.5075265894398,"right",1.07692307692308
"106",7066732,2007,821,2969,8829,0,1190.43,1.14,-0.090354,NA,1.4858232253265,"left",0.285714285714286
"107",7138532,2007,20336,4495,728,0,2.55,2.46,0.201898,NA,0,"left",0.846153846153846
"108",7268572,2007,1885,4924,8740,0,0.01,1.21,0.02738,NA,2.42783906414235,"left",0.6
"109",7395552,2007,7706,2382,71977,0,831.4,1.1,0.150479,NA,1.96455978172997,"left",0.666666666666667
"110",7404342,2007,316,693,11558,0,2774.17,1.26,0.103208,NA,-0.557096399470092,"left",1.58333333333333
"111",7426632,2007,44074,27505,35414,0,485.14,0.49,-0.05489,-0.0663095238095238,2.33530813208917,"left",0.615384615384615
"112",7435562,2007,2500,2879,85447,0,794.03,1.08,0.020505,NA,1.18497926140789,"left",0.895833333333333
"113",7438552,2007,2143,5001,149459,0,17.65,0.57,-0.042262,-0.0319066666666667,2.13240262148074,"left",0.534246575342466
"114",7439242,2007,1464,2447,54943,0,224.49,0.15,0.093885,NA,-0.185694695959811,"left",0.8
"115",7568942,2007,1585,848,90702,0,558.07,0.53,0.140815,NA,0.852941174749361,"left",0.825242718446602
"116",7591572,2007,20474,3563,109922,0,605.06,0.55,0.118744,NA,0.354249799890695,"left",0.837209302325581
"117",7649812,2007,377,227,40826,0,1936.24,1.17,0.083281,NA,2.06656431358746,"left",0.166666666666667
"118",7672842,2007,2789,4973,25155,0,925.38,1.13,-0.053701,NA,0.646971435826146,"left",1
"119",7709912,2007,8855,4283,9343,0,292.89,0.55,0.183538,NA,1.3341988721037,"left",0.866666666666667
