user_id,created_at,followers_count,following_count,tweets_count,sensitive_tweets_count,retweets_average,mentions_average,sentiment_average,retweeted_sentiment_average,poli_affil
785,2006,21269,569,96613,0,230.67,0.7,0.087341,0.0129,left
11113,2006,81877,3104,92523,0,836.67,1.33,0.038154,-0.016360294,left
11519,2006,849,2162,35386,0,5036.61,1.23,-0.092752,NA,left
12514,2006,41403,1083,229933,0,211.5,2.41,-0.093179,NA,left
15453,2006,45872,3011,155350,0,614.77,0.5,-0.01053,NA,left
29283,2006,10113,11127,702871,0,614.23,1.36,0.11122,0.103385263,left
243863,2006,15485,957,209413,0,7.97,0.94,0.30204,0.261966667,left
383373,2006,359,883,17989,0,6284.86,0.25,-0.084914,NA,left
386513,2006,52914,4080,76791,0,220.79,0.61,0.139308,NA,left
411893,2007,1,1,10,0,0,1.3,-0.00952,NA,left
483223,2007,7514,7498,698302,0,528.45,1.04,0.147071,NA,left
690293,2007,2086,692,21439,1,2886.152408,1.00095057,-0.038499366,NA,right
711953,2007,361,401,77730,0,769.17,1.17,-0.005612,NA,left
756343,2007,202,1072,15484,0,3055.81,1.02,-0.09921,NA,left
774675,2007,31349,33598,127887,1,1167.06,0.9,-0.010284,-0.062298333,left
783036,2007,676,233,10075,0,266.34,1.2,0.048977,NA,left
797444,2007,727,2357,66215,2,2693.98,1.02,0.123961,NA,left
801607,2007,2412,286,46152,0,419.37,0.66,0.083591,NA,left
806122,2007,830,617,54277,0,1140.88,1.04,-0.073914,-0.114916667,left
820694,2007,27285,4558,609109,0,6.87,1.11,-0.110406,NA,left
917131,2007,7549,1413,31764,0,1254.35,1.04,-0.089415,NA,left
926601,2007,107294,7471,44944,0,656.17,1.2,0.063306,NA,left
1015991,2007,3318,1367,49968,0,444.8,1.25,0.173152,-0.097978261,left
1137881,2007,12009,2772,21035,0,1808.91,0.96,-0.055939,NA,left
1175831,2007,797,945,27443,0,228.03,0.9,0.034668,NA,left
1214391,2007,2402,716,39826,0,2442.6,0.89,0.029353,NA,left
1318391,2007,3739,4996,81919,0,260.45,1.24,0.121783,NA,left
1388561,2007,2691,4999,61900,0,474.98,1.25,0.042656,NA,left
1578241,2007,1043,390,306,0,0.01,0.51,0.058408,NA,left
1579841,2007,4163,4278,24608,0,1656.56,1.32,-0.052364,NA,left
