tweet,avg_libcons_all,avg_feel_all,avg_insown_all,avg_insoth_all,avg_notpol_all,sd_libcons_all,sd_feel_all,sd_insown_all,sd_insoth_all,sd_notpol_all,viewed_all,avg_libcons_left,avg_feel_left,avg_insown_left,avg_insoth_left,avg_notpol_left,sd_libcons_left,sd_feel_left,sd_insown_left,sd_insoth_left,sd_notpol_left,viewed_left,avg_libcons_right,avg_feel_right,avg_insown_right,avg_insoth_right,avg_notpol_right,sd_libcons_right,sd_feel_right,sd_insown_right,sd_insoth_right,sd_notpol_right,viewed_right,avg_libcons_rl,avg_feel_rl,avg_insown_rl,avg_insoth_rl,avg_notpol_rl,sd_libcons_rl,sd_feel_rl,sd_insown_rl,sd_insoth_rl,sd_notpol_rl,viewed_rl,avg_libcons_ml,avg_feel_ml,avg_insown_ml,avg_insoth_ml,avg_notpol_ml,sd_libcons_ml,sd_feel_ml,sd_insown_ml,sd_insoth_ml,sd_notpol_ml,viewed_ml,avg_libcons_mr,avg_feel_mr,avg_insown_mr,avg_insoth_mr,avg_notpol_mr,sd_libcons_mr,sd_feel_mr,sd_insown_mr,sd_insoth_mr,sd_notpol_mr,viewed_mr,avg_libcons_rr,avg_feel_rr,avg_insown_rr,avg_insoth_rr,avg_notpol_rr,sd_libcons_rr,sd_feel_rr,sd_insown_rr,sd_insoth_rr,sd_notpol_rr,viewed_rr,twit_source,twit_samp1,neg_rl,neg_ml,neg_mr,neg_rr,neg_left,neg_right,poldif_rlml,poldif_rrmr,poldif_rlml_abs,poldif_rrmr_abs,poldif_leri,poldif_leri_abs,negdif_rlml,negdif_rrmr,negdif_leri,poldif_leri_abs_20,poldif_leri_abs_80,negdif_leri_20,negdif_leri_80,negdif_rlml_20,negdif_rlml_80,negdif_rrmr_20,negdif_rrmr_80,poldif_rlml_20,poldif_rlml_80,poldif_rrmr_20,poldif_rrmr_80,group,leftright,id_unipark,covertpes,coverttam,covertmg,covertzack,diff_modrad,diff_leftright,countofcovert,personalzd,BidenvsSanderszd,Engagedvssemiengaged,covert,overt,selected,signal,left_right
1,4,3.6086957,3,4,.26086956,1.6201851,1.8025016,2.0889318,2.0449495,.44897777,23,3.5555556,3.5999999,2.6666667,3.7333333,.40000001,1.8104634,1.8439089,2.0930724,2.282438,.50709254,15,4.5,3.625,3.625,4.5,0,1.3093073,1.8468119,2.0658793,1.5118579,0,8,3.5999999,3.8888888,2,3.5555556,.44444445,1.1401755,2.1473498,1.5,2.3511226,.52704626,9,3.5,3.1666667,3.6666667,4,.33333334,2.6457512,1.3291601,2.5819888,2.366432,.51639777,6,3.75,3.5,2.75,4,0,.5,.57735026,1.5,0,0,4,5.25,3.75,4.5,5,0,1.5,2.7537854,2.3804762,2.1602468,0,4,left heterogeneous,1,3.0555556,4.25,3.625,4.375,3.6527777,4,.052827176,1.5,.052827176,1.5,-.60545754,.60545754,-.31605336,.20799789,-.088467978,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
2,2.6470587,4,2.1764705,3.8235295,0,1.4552138,1.4142135,1.5097721,1.8451048,0,17,2.5999999,4.4000001,2.0999999,4.5,0,1.2649111,1.6465452,1.2866839,1.1785113,0,10,2.7142856,3.4285715,2.2857144,2.8571429,0,1.7994708,.78679579,1.8898224,2.2677867,0,7,2.75,5.5,1.75,4.25,0,.95742708,1.2909944,1.5,1.7078252,0,4,2.5,3.6666667,2.3333333,4.6666665,0,1.5165751,1.5055453,1.2110602,.81649661,0,6,1.6666666,3.3333333,2.6666667,2,0,.57735026,1.1547005,2.081666,1.7320508,0,3,3.5,3.5,2,3.5,0,2.081666,.57735026,2,2.6457512,0,4,left heterogeneous,1,2.125,3.3333333,3.6666667,3.25,2.7291665,3.4583335,.20210168,1.3789561,.20210168,1.3789561,-.074589729,.074589729,-.43878761,-.1433392,-.25995967,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
3,3.5,4.48,1.6799999,2.5599999,.83999997,1.7320508,.96263528,1.2151817,1.556706,.37416574,25,1,4.4545455,1.6363636,2.8181818,.90909094,0,1.0357255,1.2060454,1.7786614,.30151135,11,4.3333335,4.5,1.7142857,2.3571429,.78571427,.57735026,.94053996,1.2666473,1.392681,.42581531,14,4,4,1.6,3.2,1,0,0,1.3416408,2.0493901,0,5,1,4.8333335,1.6666666,2.5,.83333331,0,1.3291601,1.2110602,1.6431676,.40824831,6,4,4.6999998,1.6,2.3,.80000001,0,1.0593499,1.2649111,1.4944341,.42163703,10,5,4,2,2.5,.75,0,0,1.4142135,1.2909944,.5,4,left heterogeneous,1,2.8,2.4166665,2.45,3,2.6083331,2.7249999,,,,,-11.547007,11.547007,.19749983,.29423764,-.052446794,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
4,4.318182,3.4545455,3.4545455,4.5,0,2.3580937,1.9451349,2.0868585,1.5352989,0,22,4.4000001,3,3.0999999,4.8000002,0,2.5473297,2,2.0789955,1.3165612,0,10,4.25,3.8333333,3.75,4.25,0,2.3011854,1.8989631,2.1373305,1.7122552,0,12,5.5,2.75,3.25,3.75,0,2.3804762,2.3629079,1.7078252,.95742708,0,4,3.6666667,3.1666667,3,5.5,0,2.5819888,1.9407902,2.4494898,1.0488088,0,6,3.2,2.5999999,3.4000001,5,0,2.2803509,1.5165751,2.3021729,1,0,5,5,4.7142859,4,3.7142856,0,2.1602468,1.7043362,2.1602468,1.976047,0,7,left heterogeneous,1,4.25,3.9166665,4.4000001,3.6428571,4.083333,4.0214286,.73888004,.81070167,.73888004,.81070167,.061874654,.061874654,.07879281,-.19708718,.015256247,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
5,3.6666667,3.9444444,2.1111112,2.8888888,.5,.70710677,.53930479,1.3234931,1.7785946,.51449573,18,3.8,4.25,2.125,3.25,.375,.83666003,.46291006,1.2464235,2.3145502,.51754916,8,3.5,3.7,2.0999999,2.5999999,.60000002,.57735026,.48304591,1.4491377,1.2649111,.51639777,10,4,4.25,3,4.5,.25,1,.5,1.1547005,2.081666,.5,4,3.5,4.25,1.25,2,.5,.70710677,.5,.5,2,.57735026,4,3,4,2,2,.66666669,0,0,1.7320508,1,.57735026,3,3.6666667,3.5714285,2.1428571,2.8571429,.5714286,.57735026,.53452247,1.4638501,1.3451854,.53452247,7,left heterogeneous,1,3.375,2.5,3,3.2857141,2.9375,3.1428571,.58578646,2.3094015,.58578646,2.3094015,.42432499,.42432499,.65920806,.15318055,-.11278655,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
6,3.5,4.1428571,2.2857144,3.5714285,.14285715,1.6538725,1.1084094,1.2705455,1.5675277,.35856858,21,3.75,4.1999998,2.6666667,3.4000001,.2,1.8153387,1.2071217,1.2909944,1.6388149,.41403934,15,3,4,1.3333334,4,0,1.2649111,.89442718,.51639777,1.4142135,0,6,3.25,4.5,2.75,3.625,0,1.908627,1.1952286,1.5811388,1.8468119,0,8,4.75,3.8571429,2.5714285,3.1428571,.42857143,1.2583058,1.2149858,.97590005,1.4638501,.53452247,7,3.6666667,4,1.3333334,4.6666665,0,.57735026,1,.57735026,1.1547005,0,3,2.3333333,4,1.3333334,3.3333333,0,1.5275252,1,.57735026,1.5275252,0,3,left heterogeneous,1,3.125,3.3571429,2.6666667,2.6666667,3.2410715,2.6666667,-.94728881,-1.2669002,.94728881,1.2669002,.48697349,.48697349,-.093469329,0,.29389274,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
7,2.75,3.875,3.125,4.75,0,1.9493588,1.5864005,2.3345234,2.236068,0,16,3,4.4285712,2.1428571,5.2857141,0,2.081666,1.8126539,1.9518001,1.7043362,0,7,2.5555556,3.4444444,3.8888888,4.3333335,0,1.9436506,1.3333334,2.4209731,2.5980761,0,9,2,3.75,2,5.75,0,1.4142135,2.0615528,2,.95742708,0,4,4.3333335,5.3333335,2.3333333,4.6666665,0,2.309401,1.1547005,2.309401,2.5166116,0,3,2.25,3.5,4.75,5.25,0,1.5,1.7320508,2.6299555,2.8722813,0,4,2.8,3.4000001,3.2,3.5999999,0,2.3874674,1.1401755,2.2803509,2.408319,0,5,left heterogeneous,1,3.125,2.5,4.625,3.9000001,2.8125,4.2624998,-1.2532626,.28296053,1.2532626,.28296053,.22082458,.22082458,.16609852,-.18631464,-.38570184,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
8,5.0526314,2.6800001,4.3600001,5.2399998,.23999999,1.5802139,1.6258332,2.2338307,1.4798648,.4358899,25,5.3333335,2.0625,4.9375,5.6875,.25,1.6143298,1.2893797,2.0806649,1.1954776,.44721359,16,4.5714288,3.7777777,3.3333333,4.4444447,.22222222,1.5118579,1.6414763,2.236068,1.6666666,.44095856,9,5.8333335,2.1111112,4.6666665,5.4444447,.33333334,1.3291601,1.2692956,2.0615528,1.2360331,.5,9,4.8333335,2,5.2857141,6,.14285715,1.8348478,1.4142135,2.2146697,1.1547005,.37796447,7,3.3333333,2.8,4.1999998,4.5999999,.40000001,1.5275252,1.6431676,2.2803509,2.3021729,.54772258,5,5.5,5,2.25,4.25,0,.57735026,0,1.8929695,.5,0,4,left heterogeneous,1,5.2777777,5.6428571,4.6999998,2.625,5.4603176,3.6624999,.6321097,2.0587125,.6321097,2.0587125,.48743376,.48743376,-.10491192,-.71348888,.4961147,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
9,4,4.826087,1.7826087,1.9130435,.9130435,0,1.3021721,1.6224706,1.7815479,.28810406,23,4,4.5454545,1.8181819,2.090909,.90909094,0,.93419874,1.401298,2.0225997,.30151135,11,4,5.0833335,1.75,1.75,.91666669,0,1.5642793,1.8647447,1.6025548,.28867513,12,4,4.2857141,1.8571428,2.2857144,.85714287,0,.75592893,1.4638501,2.3603873,.37796447,7,4,5,1.75,1.75,1,0,1.1547005,1.5,1.5,0,4,4,4.4000001,1.6,1.6,.80000001,0,1.5165751,1.3416408,1.3416408,.44721359,5,4,5.5714288,1.8571428,1.8571428,1,0,1.5118579,2.2677867,1.8644545,0,7,left heterogeneous,1,2.7857144,2.375,2.5999999,2.1428571,2.5803571,2.3714285,,,,,,,.1685162,-.137738,.072487757,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
10,4.3333335,4.034483,2.6206896,3.0344827,.58620691,1.7232809,1.6362579,1.8596042,1.9727204,.50123,29,4.75,4.1333332,2.4000001,2.4000001,.73333335,1.7078252,1.8073922,2.0632844,1.9566735,.45773771,15,4.125,3.9285715,2.8571429,3.7142856,.42857143,1.8077215,1.4917355,1.6574838,1.8156826,.51355261,14,6,4.4444447,2.3333333,2.4444444,.77777779,1.4142135,2.185813,2.3979158,2.3511226,.44095856,9,3.5,3.6666667,2.5,2.3333333,.66666669,.70710677,1.0327955,1.6431676,1.3662601,.51639777,6,3.2,3.6666667,2.7777777,3.2222223,.44444445,1.3038405,1.6583124,1.8559215,1.9860625,.52704626,9,5.6666665,4.4000001,3,4.5999999,.40000001,1.5275252,1.1401755,1.4142135,1.1401755,.54772258,5,left heterogeneous,1,2.9444442,3.4166665,3.5555553,3.3,3.1805553,3.4277778,2.3570228,1.7423863,2.3570228,1.7423863,.35556349,.35556349,-.13009432,-.08422187,-.070434786,.18127583,1.1058947,-.42318827,.39471403,-.31525925,.22916088,-.27798018,.23826532,-.75690746,.85589612,-.73302001,.89548743,0,,,,,,,,,,,,,,,0,,
